trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-209.37974563716,"{0: 12, 1: 4, 2: 4, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-49.312274143308386,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9607894391523232}",35,0,-135.28181474356273,"{0: 20, 1: 4, 2: 10, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9417645335842487}",35,0,-49.64673928532782,"{0: 25, 1: 6, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9231163463866358}",30,21,-3.0684670312190114,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-34.39336979646327,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-39.673872875949414,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-153.81013007481863,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,0,-26.295093029726846,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.835270211411272}",25,0,-138.49935187578558,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8187307530779818}",30,0,-196.44832464484412,"{0: 17, 1: 1, 2: 9, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.8025187979624785}",20,0,-133.79425805232114,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,0,-67.30175012166117,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.7710515858035663}",25,0,-110.0621469386025,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,3,-89.97386625441804,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.7408182206817179}",25,0,-120.71700502248771,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.7261490370736909}",20,0,-102.53404509318523,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.7117703227626097}",25,10,-43.68409412708974,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.697676326071031}",20,0,-168.0418479509822,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.6838614092123558}",25,0,-98.07479417143504,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.6703200460356393}",30,18,-23.486874116146634,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.6570468198150567}",25,0,-45.82473272714948,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.6440364210831414}",25,15,-63.898941492784175,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.631283645506926}",20,7,-17.157465776871085,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.6187833918061408}",35,23,-33.60581175289602,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.6065306597126334}",25,11,-12.01304815285115,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.5945205479701944}",20,8,-5.420849229629992,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.5827482523739896}",35,9,-64.9272878338573,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,0,-116.95894693634013,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.559898366565402}",20,0,-13.151439198108598,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.5488116360940264}",25,18,11.195861198620218,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.5379444375946745}",20,0,-206.25968076751022,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
33,False,"{'a': 0.5, 'e': 0.5272924240430485}",20,0,-111.41233645267472,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.5168513344916992}",30,11,-36.82171538935163,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.5066169923655895}",25,11,12.620867343615577,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.49658530379140947}",20,4,-82.73534745603307,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.4867522559599717}",25,1,-29.952599824037193,"{0: 20, 1: 3, 2: 0, 3: 0, 4: 1}",1
38,False,"{'a': 0.5, 'e': 0.4771139155210344}",20,13,-8.233323758975088,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.46766642700990924}",25,15,-44.04262700363816,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.4584060113052235}",25,13,-4.326101284863246,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.44932896411722156}",20,11,-40.12993505436384,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.44043165450599925}",25,0,-14.283367230597063,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.43171052342907973}",20,0,4.288700776975128,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.4231620823177488}",25,0,-11.724248611561379,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.4147829116815814}",25,7,-45.83942711399031,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,0,8.542116324053513,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.39851904108451414}",20,2,-55.55090250393003,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
48,False,"{'a': 0.5, 'e': 0.3906278353585211}",30,0,-2.0888815250425923,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.38289288597511206}",30,0,-53.23033331964067,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.37531109885139957}",20,14,-4.492843074449848,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,8,-17.51936617820435,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.3605949401730783}",20,0,10.462531095816606,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.35345468195878016}",20,0,6.898888359849179,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.3464558103300574}",20,0,-46.38821077645936,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.3395955256449391}",20,0,-59.19449435454989,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.33287108369807955}",20,13,6.390053829705851,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.32627979462303947}",30,1,22.76858192477986,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.31981902181630384}",20,0,-6.760839696755836,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.3134861808826053}",30,18,-5.995381247362657,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.30727873860113125}",20,0,-35.93804196636279,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.30119421191220214}",20,10,-15.622439552705757,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.2952301669240142}",20,0,-39.6158056332982,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.2893842179390506}",20,8,-38.45499177627934,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.2836540264997704}",20,12,12.664902951462267,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.27803730045319414}",20,0,-32.460628938828066,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.2725317930340126}",25,10,4.8289005089442485,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.26713530196585034}",20,3,-26.391580837758514,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.261845668580326}",20,12,17.509756757541915,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.2566607769535559}",20,16,7.08506352471597,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.25157855305975646}",20,3,-46.16011675706006,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.24659696394160643}",20,6,-31.442020160728706,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.24171401689703645}",20,8,-38.068774242649084,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.23692775868212176}",20,15,7.172436977918611,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.23223627472975883}",20,4,28.627905415804292,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.22763768838381274}",20,12,2.9349722391643303,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,5,-18.912073990447503,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.21871188695221475}",20,2,-4.625114355069138,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.21438110142697794}",25,8,25.705838022464153,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.21013607120076472}",20,10,7.877551903101868,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.20597509820488344}",30,6,33.94803388546285,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.20189651799465538}",25,0,3.7256924292818745,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.19789869908361465}",25,17,16.9995707367726,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.19398004229089189}",25,5,-17.63682392123808,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
84,False,"{'a': 0.5, 'e': 0.1901389801015205}",25,0,21.3081634042739,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.18637397603940997}",20,16,8.225463987221298,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.18268352405273466}",30,0,35.51445652095349,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.17906614791149322}",30,8,25.004001936628576,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.17552040061699686}",25,14,-10.256170944337939,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.17204486382305054}",20,15,8.678576408256662,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.1686381472685955}",30,9,25.116628079150104,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.16529888822158653}",25,14,17.471971110345052,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.16202575093388075}",35,8,8.421582762955772,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.15881742610692068}",25,12,28.755931046133696,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.1556726303679973}",20,0,-11.696457554387347,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.15259010575688386}",25,15,-0.6024877268197817,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.14956861922263504}",25,12,-4.291325116365939,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.14660696213035015}",25,9,17.17673560266251,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.14370394977770293}",20,0,14.966310519338174,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.140858420921045}",25,18,11.296140398269443,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.13806923731089282}",20,11,16.88197605891032,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.1353352832366127}",30,19,8.145717099259649,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.13265546508012172}",25,3,24.473448182073838,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.1300287108784259}",20,0,25.457703044268584,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.12745396989482075}",25,7,11.3611708530935,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.12493021219858241}",35,12,15.544043841406316,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.1224564282529819}",20,0,-49.46914502574541,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.12003162851145673}",20,10,21.417456022414544,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.11765484302177918}",20,8,22.724925057948894,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.11532512103806251}",25,11,22.527152664775695,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
