trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,3,-164.98891097247974,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 3}",1
2,False,"{'a': 0.5, 'e': 0.8187307530779818}",35,0,-314.4711197812179,"{0: 15, 1: 6, 2: 6, 3: 4, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.6703200460356393}",20,0,-88.15949043077042,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.5488116360940264}",20,0,-22.218749066899182,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.44932896411722156}",20,0,-184.64013256822997,"{0: 8, 1: 4, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,0,-186.65167265796632,"{0: 9, 1: 7, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.301194211912202}",20,0,-86.78021745488279,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.24659696394160643}",30,0,-161.65258739692615,"{0: 16, 1: 6, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.20189651799465538}",25,0,-123.22030346891671,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.16529888822158653}",20,0,-51.623808615780874,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.1353352832366127}",20,0,-164.96683448270352,"{0: 9, 1: 5, 2: 3, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.11080315836233387}",20,0,-117.15609138135189,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.09071795328941247}",30,0,-156.44620420160112,"{0: 17, 1: 6, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.07427357821433388}",30,0,-157.0540546190221,"{0: 14, 1: 5, 2: 9, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.06081006262521795}",20,0,-140.1838724839557,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.049787068367863944}",25,20,7.97264616849438,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.04076220397836621}",20,0,-137.6093395030678,"{0: 7, 1: 5, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.033373269960326066}",20,0,-172.68146548364794,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.02732372244729256}",30,0,-102.26130215462418,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.02237077185616559}",20,0,-83.6081706195915,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-134.71860612730825,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-205.66409392372822,"{0: 8, 1: 1, 2: 7, 3: 1, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",20,0,-47.106618091338284,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-159.9715753214205,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",30,0,-147.2204379211132,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-191.92323156557296,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,0,-146.59864551853664,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,0,-201.8848686546067,"{0: 13, 1: 4, 2: 3, 3: 2, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",20,0,-85.95875126673855,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",1
10,True,"{'a': 0, 'e': 0}",25,0,-106.77640248458228,"{0: 12, 1: 5, 2: 6, 3: 2, 4: 0}",0
